v_cp	max_depth	min_split	minbucket	ganancia_promedio
-1	4	5	5	9609333
-1	4	5	0	9296667
-1	6	1000	1	9433333
-1	6	1000	2	10063333
-1	6	1000	3	10125333
-1	6	1000	4	10135333
-1	6	1000	5	10083333
-1	6	1000	100	10318000
-1	6	1000	200	10384000
-1	6	1000	333	10554000
-1	6	1000	500	10646000
-1	6	800	1	9433333
-1	6	800	2	10056667
-1	6	800	3	9998667
-1	6	800	4	10008667
-1	6	800	5	10005333
-1	6	800	80	9947333
-1	6	800	160	10246667
-1	6	800	266	10283333
-1	6	800	400	10574000
-1	6	600	1	9413333
-1	6	600	2	10033333
-1	6	600	3	9972667
-1	6	600	4	9995333
-1	6	600	5	9984000
-1	6	600	60	10069333
-1	6	600	120	10453333
-1	6	600	200	10659333
-1	6	600	300	10461333
-1	6	400	1	9412000
-1	6	400	2	10030667
-1	6	400	3	9968667
-1	6	400	4	9990667
